"番号","地区","品目","形式","材質","可燃ごみ","不燃ごみ","有害ごみ","プラスチック資源","資源","粗大ごみ","小型家電回収ボックス","集積所不可(直接搬入のみ可)","市では処理できないごみ","処理できない形式・材質","備考"
"268","朝霞市","お碗","","木製","◎","○","","","","","","","","",""
"269","朝霞市","お碗","","陶磁器製、プラスチック製","","◎","","","","","","","","",""
"270","朝霞市","温室","100cm×90cm×90cm未満","","","○","","","","◎","","","○","100cm×90cm×90cm以上のものは不可。","50cm未満のものは不燃ごみ。"
"271","朝霞市","温水器(給湯器、湯沸かし器)","屋内型(タンク式は容量5リットルまで)","","","○","","","","◎","","","○","屋外型、容量5リットルを超えるタンク式、ヒートポンプ式、太陽熱温水器(ソーラー温水器)は不可。
","50cm未満のものは不燃ごみ。電池は取り外してください。"
"272","朝霞市","温水洗浄便座(ウォッシュエアシート)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"273","朝霞市","温度計(寒暖計)","アルコール式、針表示式","","","◎","","","","","","","","",""
"274","朝霞市","温度計(寒暖計)","水銀式","","","","◎","","","","","","","",""
"275","朝霞市","温風ヒーター(ファンヒーター)","石油式、ガス式、電気式","","","○","","","","◎","","","","","事故の原因となるため、必ず燃料を使い切ってください。50cm未満のものは不燃ごみ。"
"276","朝霞市","カーステレオ(カーコンポ)","","","","◎","","","","","☆","","","",""
"277","朝霞市","ガーゼ","","","◎","","","","","","","","","","50cm未満に切ってください。"
"278","朝霞市","カーテレビ","車載用液晶テレビ","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ",""
"279","朝霞市","カーテン","","布製","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"280","朝霞市","カーテン","","レース製","◎","","","","","","","","","","50cm未満に切ってください。"
"281","朝霞市","ガーデンパラソル","","","","","","","","◎","","","○","180cm以上のものは不可。",""
"282","朝霞市","ガーデンライト(庭園灯)","","","","","","","","","","","◎","",""
"283","朝霞市","カーテンレール","","","","","","","","◎","","","","",""
"284","朝霞市","カードケース","","皮革製","◎","","","","","","","","","",""
"285","朝霞市","カードケース","","プラスチック製、金属製","","◎","","","","","","","","",""
"286","朝霞市","カード","","プラスチック製","◎","","","","","","","","","","キャッシュカード、クレジットカード等ははさみ等で切ってから出してください。"
"287","朝霞市","カーナビゲーションシステム","","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ","記録などは消去してください。"
"288","朝霞市","カーペット(じゅうたん)","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"289","朝霞市","カーペットローラー","","","","◎","","","","","","","","","粘着テープ部分は可燃ごみ。"
"290","朝霞市","カーポート","","","","","","","","","","","◎","",""
"291","朝霞市","カーボン紙","","","◎","","","","","","","","","",""
"292","朝霞市","カーラー(ヘアカーラー)","","","","◎","","","","","","","","",""
"293","朝霞市","櫂(オール)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"294","朝霞市","貝殻","食用、装身具","","◎","○","","","","","","","","",""
"295","朝霞市","介護用ベッド","電動リクライニング式等","","","","","","","","","","◎","",""
"296","朝霞市","海水パンツ","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"297","朝霞市","懐中電灯","","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ","電池を取り外してください。"
"298","朝霞市","回転行灯(回転提灯)","仏具","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"299","朝霞市","回転ゴム印","","","","◎","","","","","","","","",""
"300","朝霞市","かいまき","寝具","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"301","朝霞市","買物かご","","プラスチック製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"302","朝霞市","カイロ","使い捨て式","","◎","","","","","","","","","",""
"303","朝霞市","カイロ","白金触媒式","","","◎","","","","","","","","",""
"304","朝霞市","カイロ","電池式、充電式","","","◎","○","","","","☆","","","充電池内蔵式は有害ごみ","電池を取り外してください。"
"305","朝霞市","鏡","","","","◎","","","","○","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。50cm以上のものは粗大ごみ。"
"306","朝霞市","掛矢(かけや)","工具","","","○","","","","◎","","","○","仕事で使用したものは不可","50cm未満のものは不燃ごみ。"
"307","朝霞市","鍵","","","","◎","","","","","","","","",""
"308","朝霞市","かき氷器","手動式、電動式","","","◎","","","","○","","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。"
"309","朝霞市","角材","長さ50cm未満、厚み5cm未満、幅20cm未満","","◎","","","","","","","","○","建材は不可。",""
"310","朝霞市","学習机","","","","","","","","◎","","","","",""
"311","朝霞市","拡声器(トランジスタメガホン)","電池式、充電式","","","◎","○","","","","","","","充電池内蔵式は有害ごみ","電池を取り外してください。"
"312","朝霞市","学生服","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"313","朝霞市","拡大鏡(虫めがね、ルーペ)","","","","◎","","","","","","","","",""
"314","朝霞市","家具転倒防止伸縮棒","地震対策用","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"315","朝霞市","家具転倒防止粘着マット","地震対策用","","◎","","","","","","","","","",""
"316","朝霞市","額縁","","","","○","","","","◎","","","","","必ずガラスを取り外してください。取り外したガラスは紙などに包み「キケン」と表示してください。50cm未満のものは不燃ごみ。"
"317","朝霞市","掛け軸","","","◎","","","","","","","","","","50cm未満に切って可燃ごみ。"
"318","朝霞市","掛け時計","機械式、電池式","","","◎","","","","○","☆","","","","電池式は電池を取り外してください。50cm以上のものは粗大ごみ。"
"319","朝霞市","掛け布団","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"320","朝霞市","かご","","籐製","◎","○","","","","○","","","","","50cm以上のものは粗大ごみ。"
"321","朝霞市","かご","","木製、プラスチック製、金属製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"322","朝霞市","傘","","","","◎","","","","","","","","","長さにかかわらず不燃ごみ。"
"323","朝霞市","傘立て","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"324","朝霞市","加湿器","","","","◎","","","","○","☆","","","","50cm以上のものは粗大ごみ。"
"325","朝霞市","加湿空気清浄機","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"326","朝霞市","ガスオーブン","","","","","","","","","","","◎","",""
"327","朝霞市","ガスコンロ","卓上用、据置型（２口まで）","","","○","","","","◎","","","○","作り付けのものは不可。","必ずボンベを取り外してください。ボンベについては、必ず中身を使い切って有害ごみ。どうしても使い切れない場合はクリーンセンターへ直接お持ちください。50cm未満のものは不燃ごみ。"
"328","朝霞市","ガスコンロカバー(レンジカバー)","亜鉛メッキ鋼板等","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"329","朝霞市","ガスストーブ","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"330","朝霞市","カスタネット","","木製","◎","","","","","","","","","",""
"331","朝霞市","カスタネット","","プラスチック製","","◎","","","","","","","","",""
"332","朝霞市","ガステーブル","据置型（２口まで）","","","○","","","","◎","","","○","作り付けのものは不可。","50cm未満のものは不燃ごみ。"
"333","朝霞市","ガスバーナー","","","","◎","","","","","","","○","仕事で使用したものは不可","家庭用の小型のものに限ります。カセット式ボンベは、必ず中身を使い切って有害ごみ。どうしても使い切れない場合はクリーンセンターへ直接お持ちください。

"
"334","朝霞市","ガスファンヒーター","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"335","朝霞市","ガスボンベ","LPGボンベ等","","","","","","","","","","◎","",""
